DefendantID,BondPowerNumber,PrintDate,LastPaymentDate,TotalBilled,TotalReceived,AccountBalance,BondBalance,CustomersLastName,CustomersFirstName,CustomersSSN,CustomersAddress1,CustomersCity,CustomersState,CustomersZIP,CustomersDOB,CustomersPhone,CustomersEMail,CustomerCompleteAddress,CosignersLastName,CosignersFirstName,CosignersSSN,CosignersAddress1,CosignersCity,CosignersState,CosignersZIP,CosignersCompleteAddress,CosignersDOB,CosignersPhone,CosignersEmail,PlanAmount,Frequency,PaymentDueDate,NextPaymentDueAmount,LastPaymentAmount,BondDate,EmployerName,Occupation,EmployerAddress,EmployerCity,EmployerStateID,EmployerZip,EmployerPhone,LengthOfEmployment,OwnerName,InsurerName,Total_Premium,Total_AR,Relationship,BondAmount
2700004,FCS490-8852574,05/11/2025,07/10/2016,9000,188,8812,8812,White,Nancy,217-97-9797,4471 Ridgeway Dr,Houston,TX,77001,05/01/1976,(645) 361-8433,nancy.white4@example.com,HOME 4471 Ridgeway Dr Houston TX 77001,,,,,,,,,,,,300,Weekly,02/24/2025,300,91,07/29/2021,St. Francis Sr. Residence (NLE),Accountant,8417 4th St,San Antonio,TX,78201,(356) 582-3646,17 years,UNITED LEGAL GROUP 3RD PARTY COLL,National Bonding,1200,1000,Spouse,50000
2700006,FCS335-4694634,11/24/2023,06/23/2012,1000,234,766,766,Lewis,John,132-52-2160,8523 Lakeview Dr,Dallas,TX,75201,07/20/1993,(419) 752-3167,john.lewis6@emailtest.org,HOME 8523 Lakeview Dr Dallas TX 75201,,,,,,,,,,,,250,Bi-Weekly,05/28/2025,250,104,01/06/2018,St. Francis Sr. Residence (NLE),Teacher,7162 Forest Ave,Columbus,OH,43085,(620) 678-1887,20 years,UNITED LEGAL GROUP 3RD PARTY COLL,"Financial Casualty & Surety, Inc.",1500,1491,Co-signer,50000
2700012,FCS720-9580255,03/14/2024,07/11/2019,12000,3114,8886,8886,Johnson,William,825-65-1027,8618 2nd St,El Paso,TX,79901,09/05/1967,(572) 641-2146,william.johnson12@testmail.com,HOME 8618 2nd St El Paso TX 79901,,,,,,,,,,,,150,Weekly,07/25/2022,150,129,05/08/2019,Global Services LLC,Receptionist,6692 Hillcrest Rd,Seattle,WA,98101,(330) 396-7888,12 years,OWNER NAME LLC,National Bonding,1800,616,Sibling,150000
2700016,FCS677-1454696,02/10/2024,04/20/2025,4500,1111,3389,3389,Anderson,Margaret,286-16-5262,6311 Ridgeway Dr,San Antonio,TX,78201,10/17/1990,(534) 545-7211,margaret.anderson16@testmail.com,HOME 6311 Ridgeway Dr San Antonio TX 78201,,,,,,,,,,,,400,Bi-Weekly,07/23/2025,400,41,02/26/2021,St. Francis Sr. Residence (NLE),Plumber,953 Forest Ave,San Diego,CA,92101,(865) 270-1659,0 years,OWNER NAME LLC,ABC Insurance Co.,500,318,Sibling,75000
2700035,FCS520-6932391,09/28/2025,05/15/2020,1000,991,9,9,Martin,Elizabeth,419-55-2697,9568 Court St,San Antonio,TX,78201,11/19/1963,(872) 693-4674,elizabeth.martin35@example.com,HOME 9568 Court St San Antonio TX 78201,,,,,,,,,,,,350,Monthly,02/25/2025,350,142,04/27/2022,United Legal Group,Sales Associate,9290 4th St,Washington,DC,20001,(891) 858-1430,19 years,PRIMARY OWNER INC,"Financial Casualty & Surety, Inc.",900,279,Employer,90000
2700036,FCS459-1102438,05/20/2024,02/05/2014,12000,10769,1231,1231,Williams,Richard,245-91-1502,1603 Court St,San Antonio,TX,78201,10/02/1983,(629) 664-6585,richard.williams36@mail.com,HOME 1603 Court St San Antonio TX 78201,,,,,,,,,,,,350,Weekly,03/22/2024,350,43,10/15/2025,St. Francis Sr. Residence (NLE),Driver,2679 4th St,Los Angeles,CA,90001,(890) 283-5458,14 years,UNITED LEGAL GROUP,Liberty Bonds Co.,1800,905,Sibling,90000
2700038,FCS826-8007741,09/08/2024,06/20/2013,4500,170,4330,4330,Garcia,David,732-68-6928,1543 Spruce St,Houston,TX,77001,10/30/1971,(646) 803-7560,david.garcia38@emailtest.org,HOME 1543 Spruce St Houston TX 77001,Martinez,Margaret,863-53-4630,5556 Elm St,Chicago,IL,60601.0,HOME 5556 Elm St Chicago IL 60601,10/18/1985,(848) 316-9693,margaret.martinez76@emailtest.org,250,Bi-Weekly,11/06/2022,250,186,01/24/2025,United Legal Group,Construction Worker,1784 Cedar Ln,Dallas,TX,75201,(402) 377-3504,20 years,UNITED LEGAL GROUP 3RD PARTY COLL,ABC Insurance Co.,1500,950,Sister,150000
2700046,FCS227-7174337,02/06/2025,11/09/2019,6000,3167,2833,2833,Garcia,David,608-98-9151,6118 Court St,Dallas,TX,75201,05/31/1957,(944) 634-2293,david.garcia46@dummyemail.com,HOME 6118 Court St Dallas TX 75201,,,,,,,,,,,,200,Weekly,07/11/2022,200,82,01/12/2017,St. Francis Sr. Residence (NLE),Receptionist,4943 Hillcrest Rd,Charlotte,NC,28201,(817) 934-7981,5 years,UNITED LEGAL GROUP,United Surety,1500,86,Co-signer,150000
2700048,FCS355-2903351,12/13/2023,01/22/2015,6000,4241,1759,1759,Robinson,Richard,675-25-5288,4364 Walnut St,San Antonio,TX,78201,08/15/1975,(910) 702-4279,richard.robinson48@example.com,HOME 4364 Walnut St San Antonio TX 78201,Anderson,John,276-66-2438,5336 Forest Ave,Nashville,TN,37201.0,HOME 5336 Forest Ave Nashville TN 37201,10/28/1945,(763) 755-5757,john.anderson96@testmail.com,200,Weekly,11/09/2024,200,179,01/13/2023,United Legal Group,Customer Service,8435 Lakeview Dr,Houston,TX,77001,(405) 342-4878,15 years,UNITED LEGAL GROUP 3RD PARTY COLL,United Surety,1800,1172,Co-signer,100000
2700067,FCS734-9832465,08/01/2024,11/01/2018,2500,1625,875,875,Lopez,John,515-68-4984,3800 Hillcrest Rd,El Paso,TX,79901,03/26/1957,(869) 865-1519,john.lopez67@example.com,HOME 3800 Hillcrest Rd El Paso TX 79901,,,,,,,,,,,,400,Weekly,07/19/2023,400,28,01/09/2023,St. Francis Sr. Residence (NLE),Manager,1454 Cherry Ln,Columbus,OH,43085,(860) 539-2562,16 years,UNITED LEGAL GROUP 3RD PARTY COLL,ABC Insurance Co.,900,888,Sister,100000
