DefendantID,BondPowerNumber,PrintDate,LastPaymentDate,TotalBilled,TotalReceived,AccountBalance,BondBalance,CustomersLastName,CustomersFirstName,CustomersSSN,CustomersAddress1,CustomersCity,CustomersState,CustomersZIP,CustomersDOB,CustomersPhone,CustomersEMail,CustomerCompleteAddress,CosignersLastName,CosignersFirstName,CosignersSSN,CosignersAddress1,CosignersCity,CosignersState,CosignersZIP,CosignersCompleteAddress,CosignersDOB,CosignersPhone,CosignersEmail,PlanAmount,Frequency,PaymentDueDate,NextPaymentDueAmount,LastPaymentAmount,BondDate,EmployerName,Occupation,EmployerAddress,EmployerCity,EmployerStateID,EmployerZip,EmployerPhone,LengthOfEmployment,OwnerName,InsurerName,Total_Premium,Total_AR,Relationship,BondAmount
2700006,FCS335-4694634,11/24/2023,06/23/2012,1000,234,766,766,Lewis,John,132-52-2160,8523 Lakeview Dr,Dallas,TX,75201,07/20/1993,(419) 752-3167,john.lewis6@emailtest.org,HOME 8523 Lakeview Dr Dallas TX 75201,,,,,,,,,,,,250,Bi-Weekly,05/28/2025,250,104,01/06/2018,St. Francis Sr. Residence (NLE),Teacher,7162 Forest Ave,Columbus,OH,43085,(620) 678-1887,20 years,UNITED LEGAL GROUP 3RD PARTY COLL,"Financial Casualty & Surety, Inc.",1500,1491,Co-signer,50000
2700067,FCS734-9832465,08/01/2024,11/01/2018,2500,1625,875,875,Lopez,John,515-68-4984,3800 Hillcrest Rd,El Paso,TX,79901,03/26/1957,(869) 865-1519,john.lopez67@example.com,HOME 3800 Hillcrest Rd El Paso TX 79901,,,,,,,,,,,,400,Weekly,07/19/2023,400,28,01/09/2023,St. Francis Sr. Residence (NLE),Manager,1454 Cherry Ln,Columbus,OH,43085,(860) 539-2562,16 years,UNITED LEGAL GROUP 3RD PARTY COLL,ABC Insurance Co.,900,888,Sister,100000
2700126,FCS943-3438206,03/13/2025,05/07/2024,4500,722,3778,3778,Rodriguez,John,327-57-2311,718 Birch St,Fort Worth,TX,76101,09/28/1996,(493) 928-1941,john.rodriguez126@mail.com,HOME 718 Birch St Fort Worth TX 76101,,,,,,,,,,,,500,Monthly,01/04/2022,500,435,04/01/2023,Main St Manufacturing,Accountant,3290 Oak St,Washington,DC,20001,(722) 728-4795,19 years,OWNER NAME LLC,"Financial Casualty & Surety, Inc.",1200,489,Spouse,75000
2700275,FCS128-5018645,08/31/2024,07/15/2014,9000,1744,7256,7256,Miller,John,711-11-6064,3175 2nd St,San Antonio,TX,78201,11/26/1952,(446) 475-2393,john.miller275@emailtest.org,HOME 3175 2nd St San Antonio TX 78201,,,,,,,,,,,,500,Monthly,02/23/2021,500,161,12/04/2016,Acme Corp,Retail Clerk,5943 Hillcrest Rd,Fort Worth,TX,76101,(712) 399-6152,12 years,PRIMARY OWNER INC,ABC Insurance Co.,500,169,Sibling,150000
2700383,FCS222-4766788,08/21/2025,09/04/2011,12000,8938,3062,3062,Smith,John,764-70-7325,4727 4th St,Fort Worth,TX,76101,05/05/1990,(966) 443-9037,john.smith383@emailtest.org,HOME 4727 4th St Fort Worth TX 76101,Anderson,Christopher,590-29-8441,8889 Forest Ave,San Diego,CA,92101.0,HOME 8889 Forest Ave San Diego CA 92101,12/14/1952,(493) 852-3856,christopher.anderson766@dummyemail.com,300,Monthly,12/10/2022,300,10,09/21/2020,Acme Corp,Driver,797 Walnut St,Columbus,OH,43085,(927) 754-4718,12 years,OWNER NAME LLC,United Surety,900,415,Sibling,100000
2700438,FCS209-5433920,04/27/2024,02/20/2024,9000,4056,4944,4944,Hernandez,John,272-33-2701,375 Cherry Ln,San Antonio,TX,78201,05/13/1961,(373) 955-9350,john.hernandez438@mail.com,HOME 375 Cherry Ln San Antonio TX 78201,,,,,,,,,,,,100,Weekly,10/24/2023,100,34,05/08/2022,United Legal Group,Administrative Assistant,9071 Lakeview Dr,Los Angeles,CA,90001,(640) 416-7364,6 years,PRIMARY OWNER INC,United Surety,900,414,Sister,100000
2700506,FCS154-9921066,06/19/2024,11/20/2022,3000,2819,181,181,Thomas,John,717-89-4562,7478 2nd St,Houston,TX,77001,05/26/1951,(857) 902-6251,john.thomas506@mail.com,HOME 7478 2nd St Houston TX 77001,,,,,,,,,,,,150,Monthly,11/21/2023,150,116,07/07/2021,Main St Manufacturing,Software Engineer,8928 Birch St,Washington,DC,20001,(781) 793-7972,18 years,OWNER NAME LLC,National Bonding,500,156,Co-signer,100000
2700508,FCS115-4105702,07/09/2024,10/29/2014,1000,16,984,984,Thompson,John,634-59-8558,7210 Birch St,Houston,TX,77001,01/24/1954,(230) 720-8878,john.thompson508@dummyemail.com,HOME 7210 Birch St Houston TX 77001,Williams,Sarah,402-34-7105,6386 Pine Ave,San Jose,CA,95101.0,HOME 6386 Pine Ave San Jose CA 95101,07/15/1945,(941) 440-5740,sarah.williams1016@testmail.com,250,Weekly,05/10/2021,250,150,08/09/2021,St. Francis Sr. Residence (NLE),Administrative Assistant,4627 Spruce St,Oklahoma City,OK,73101,(984) 763-3265,6 years,PRIMARY OWNER INC,United Surety,1500,1205,Co-signer,50000
2700514,FCS593-2105804,01/16/2024,10/07/2018,9000,966,8034,8034,Brown,John,688-57-1016,3016 Walnut St,Houston,TX,77001,09/24/1957,(522) 390-8002,john.brown514@example.com,HOME 3016 Walnut St Houston TX 77001,,,,,,,,,,,,100,Weekly,11/29/2022,100,29,01/16/2025,Global Services LLC,Security Guard,9430 Cedar Ln,San Antonio,TX,78201,(244) 233-8575,2 years,UNITED LEGAL GROUP,National Bonding,1200,30,Spouse,100000
2700690,FCS714-4632437,12/25/2023,07/17/2012,2500,2229,271,271,Brown,John,510-11-5635,9575 3rd St,El Paso,TX,79901,06/13/1957,(990) 225-1779,john.brown690@testmail.com,HOME 9575 3rd St El Paso TX 79901,,,,,,,,,,,,200,Monthly,09/21/2021,200,135,03/08/2022,Global Services LLC,Sales Associate,2050 Birch St,Seattle,WA,98101,(233) 965-2185,19 years,UNITED LEGAL GROUP 3RD PARTY COLL,ABC Insurance Co.,1200,295,Parent,75000
