DefendantID,BondPowerNumber,PrintDate,LastPaymentDate,TotalBilled,TotalReceived,AccountBalance,BondBalance,CustomersLastName,CustomersFirstName,CustomersSSN,CustomersAddress1,CustomersCity,CustomersState,CustomersZIP,CustomersDOB,CustomersPhone,CustomersEMail,CustomerCompleteAddress,CosignersLastName,CosignersFirstName,CosignersSSN,CosignersAddress1,CosignersCity,CosignersState,CosignersZIP,CosignersCompleteAddress,CosignersDOB,CosignersPhone,CosignersEmail,PlanAmount,Frequency,PaymentDueDate,NextPaymentDueAmount,LastPaymentAmount,BondDate,EmployerName,Occupation,EmployerAddress,EmployerCity,EmployerStateID,EmployerZip,EmployerPhone,LengthOfEmployment,OwnerName,InsurerName,Total_Premium,Total_AR,Relationship,BondAmount
2700006,FCS335-4694634,11/24/2023,06/23/2012,1000,234,766,766,Lewis,John,132-52-2160,8523 Lakeview Dr,Dallas,TX,75201,07/20/1993,(419) 752-3167,john.lewis6@emailtest.org,HOME 8523 Lakeview Dr Dallas TX 75201,,,,,,,,,,,,250,Bi-Weekly,05/28/2025,250,104,01/06/2018,St. Francis Sr. Residence (NLE),Teacher,7162 Forest Ave,Columbus,OH,43085,(620) 678-1887,20 years,UNITED LEGAL GROUP 3RD PARTY COLL,"Financial Casualty & Surety, Inc.",1500,1491,Co-signer,50000
2700030,FCS579-2263313,04/09/2024,12/12/2015,4500,2996,1504,1504,Sanchez,John,504-11-5332,8891 Maple Ave,Charlotte,NC,28201,01/25/1983,(888) 966-5295,john.sanchez30@emailtest.org,HOME 8891 Maple Ave Charlotte NC 28201,,,,,,,,,,,,350,Monthly,08/30/2024,350,119,03/03/2021,St. Francis Sr. Residence (NLE),Dietary Aide,9298 Ridgeway Dr,Washington,DC,20001,(426) 863-2035,20 years,UNITED LEGAL GROUP,United Surety,1500,238,Sibling,50000
2700039,FCS559-6422534,08/20/2025,12/22/2017,1800,900,900,900,Thomas,John,552-90-5961,4600 3rd St,Los Angeles,CA,90001,07/29/1981,(719) 275-6085,john.thomas39@dummyemail.com,HOME 4600 3rd St Los Angeles CA 90001,,,,,,,,,,,,100,Bi-Weekly,07/17/2025,100,36,09/28/2016,St. Francis Sr. Residence (NLE),Dietary Aide,9833 Court St,Fort Worth,TX,76101,(673) 794-1672,14 years,OWNER NAME LLC,United Surety,1800,974,Father,75000
2700043,FCS667-2721170,11/14/2025,06/16/2022,1500,583,917,917,Harris,John,264-44-8361,8510 Cedar Ln,Columbus,OH,43085,03/25/1958,(427) 661-6727,john.harris43@example.com,HOME 8510 Cedar Ln Columbus OH 43085,,,,,,,,,,,,400,Weekly,12/22/2022,400,120,03/18/2020,St. Francis Sr. Residence (NLE),Customer Service,3778 Main St,Austin,TX,73301,(301) 931-6493,4 years,OWNER NAME LLC,"Financial Casualty & Surety, Inc.",1200,967,Sibling,100000
2700062,FCS928-8033690,08/07/2025,03/28/2011,2000,422,1578,1578,Brown,John,708-14-8314,9894 Oak St,San Diego,CA,92101,12/20/1953,(611) 649-4839,john.brown62@emailtest.org,HOME 9894 Oak St San Diego CA 92101,Harris,Margaret,157-27-9255,4839 Lakeview Dr,Detroit,MI,48201.0,HOME 4839 Lakeview Dr Detroit MI 48201,09/07/1991,(526) 791-6253,margaret.harris124@mail.com,300,Monthly,07/31/2024,300,266,05/12/2018,Global Services LLC,Accountant,4608 Oak St,Seattle,WA,98101,(805) 952-3869,20 years,UNITED LEGAL GROUP,National Bonding,1500,96,Co-signer,100000
2700067,FCS734-9832465,08/01/2024,11/01/2018,2500,1625,875,875,Lopez,John,515-68-4984,3800 Hillcrest Rd,El Paso,TX,79901,03/26/1957,(869) 865-1519,john.lopez67@example.com,HOME 3800 Hillcrest Rd El Paso TX 79901,,,,,,,,,,,,400,Weekly,07/19/2023,400,28,01/09/2023,St. Francis Sr. Residence (NLE),Manager,1454 Cherry Ln,Columbus,OH,43085,(860) 539-2562,16 years,UNITED LEGAL GROUP 3RD PARTY COLL,ABC Insurance Co.,900,888,Sister,100000
2700076,FCS518-9249791,01/15/2025,11/03/2020,6000,1370,4630,4630,Jackson,John,131-38-5785,635 Sunset Blvd,San Diego,CA,92101,03/26/1998,(495) 372-8492,john.jackson76@emailtest.org,HOME 635 Sunset Blvd San Diego CA 92101,,,,,,,,,,,,500,Weekly,09/29/2023,500,57,04/21/2022,St. Francis Sr. Residence (NLE),Software Engineer,8998 Forest Ave,Seattle,WA,98101,(974) 242-8231,17 years,OWNER NAME LLC,Liberty Bonds Co.,500,376,Friend,90000
2700116,FCS189-2228898,01/11/2024,11/17/2014,2500,2285,215,215,Jackson,John,333-43-7678,6457 Walnut St,Boston,MA,2101,04/14/1986,(643) 523-1276,john.jackson116@dummyemail.com,HOME 6457 Walnut St Boston MA 02101,,,,,,,,,,,,100,Weekly,12/01/2024,100,79,08/04/2016,Main St Manufacturing,Security Guard,1289 Forest Ave,Indianapolis,IN,46201,(308) 496-5937,19 years,UNITED LEGAL GROUP 3RD PARTY COLL,United Surety,1500,781,Sibling,50000
2700126,FCS943-3438206,03/13/2025,05/07/2024,4500,722,3778,3778,Rodriguez,John,327-57-2311,718 Birch St,Fort Worth,TX,76101,09/28/1996,(493) 928-1941,john.rodriguez126@mail.com,HOME 718 Birch St Fort Worth TX 76101,,,,,,,,,,,,500,Monthly,01/04/2022,500,435,04/01/2023,Main St Manufacturing,Accountant,3290 Oak St,Washington,DC,20001,(722) 728-4795,19 years,OWNER NAME LLC,"Financial Casualty & Surety, Inc.",1200,489,Spouse,75000
2700133,FCS883-2396723,03/02/2024,10/09/2016,12000,2544,9456,9456,Lee,John,499-49-4757,4153 Hillcrest Rd,Charlotte,NC,28201,05/05/1961,(334) 739-3795,john.lee133@example.com,HOME 4153 Hillcrest Rd Charlotte NC 28201,Ramirez,Barbara,433-70-8654,8956 Sunset Blvd,Seattle,WA,98101.0,HOME 8956 Sunset Blvd Seattle WA 98101,11/28/1979,(338) 914-9835,barbara.ramirez266@mail.com,500,Weekly,01/28/2025,500,325,09/20/2025,Main St Manufacturing,Sales Associate,8676 2nd St,San Jose,CA,95101,(555) 693-9841,7 years,UNITED LEGAL GROUP 3RD PARTY COLL,Liberty Bonds Co.,1200,749,Sibling,90000
